,time,gait,participant_id,label,group
0,30.843,1.123,young_4,young_general,1
1,31.967,1.15,young_4,young_general,1
2,33.117,1.137,young_4,young_general,1
3,34.253,1.153,young_4,young_general,1
4,35.407,1.13,young_4,young_general,1
5,36.537,1.16,young_4,young_general,1
6,37.697,1.14,young_4,young_general,1
7,38.837,1.147,young_4,young_general,1
8,39.983,1.19,young_4,young_general,1
9,41.173,1.15,young_4,young_general,1
10,42.323,1.153,young_4,young_general,1
11,43.477,1.133,young_4,young_general,1
12,44.61,1.173,young_4,young_general,1
13,45.783,1.153,young_4,young_general,1
14,46.937,1.16,young_4,young_general,1
15,48.097,1.143,young_4,young_general,1
16,49.24,1.157,young_4,young_general,1
17,50.397,1.127,young_4,young_general,1
18,51.523,1.19,young_4,young_general,1
19,52.713,1.153,young_4,young_general,1
20,53.867,1.127,young_4,young_general,2
21,54.993,1.143,young_4,young_general,2
22,56.137,1.15,young_4,young_general,2
23,57.287,1.143,young_4,young_general,2
24,58.43,1.15,young_4,young_general,2
25,59.58,1.137,young_4,young_general,2
26,60.717,1.143,young_4,young_general,2
27,61.86,1.15,young_4,young_general,2
28,63.01,1.147,young_4,young_general,2
29,64.157,1.14,young_4,young_general,2
30,65.297,1.137,young_4,young_general,2
31,66.433,1.15,young_4,young_general,2
32,67.583,1.137,young_4,young_general,2
33,68.72,1.13,young_4,young_general,2
34,69.85,1.14,young_4,young_general,2
35,70.99,1.103,young_4,young_general,2
36,72.093,1.113,young_4,young_general,2
37,73.207,1.147,young_4,young_general,2
38,74.353,1.153,young_4,young_general,2
39,75.507,1.143,young_4,young_general,2
40,76.65,1.17,young_4,young_general,3
41,77.82,1.17,young_4,young_general,3
42,78.99,1.137,young_4,young_general,3
43,80.127,1.133,young_4,young_general,3
44,81.26,1.13,young_4,young_general,3
45,82.39,1.143,young_4,young_general,3
46,83.533,1.127,young_4,young_general,3
47,84.66,1.15,young_4,young_general,3
48,85.81,1.133,young_4,young_general,3
49,86.943,1.143,young_4,young_general,3
50,88.087,1.113,young_4,young_general,3
51,89.2,1.143,young_4,young_general,3
52,90.343,1.157,young_4,young_general,3
53,91.5,1.163,young_4,young_general,3
54,92.663,1.177,young_4,young_general,3
55,93.84,1.127,young_4,young_general,3
56,94.967,1.143,young_4,young_general,3
57,96.11,1.17,young_4,young_general,3
58,97.28,1.143,young_4,young_general,3
59,98.423,1.127,young_4,young_general,3
60,99.55,1.143,young_4,young_general,4
61,100.693,1.153,young_4,young_general,4
62,101.847,1.147,young_4,young_general,4
63,102.993,1.16,young_4,young_general,4
64,104.153,1.133,young_4,young_general,4
65,105.287,1.133,young_4,young_general,4
66,106.42,1.147,young_4,young_general,4
67,107.567,1.157,young_4,young_general,4
68,108.723,1.127,young_4,young_general,4
69,109.85,1.157,young_4,young_general,4
70,111.007,1.14,young_4,young_general,4
71,112.147,1.13,young_4,young_general,4
72,113.277,1.12,young_4,young_general,4
73,114.397,1.153,young_4,young_general,4
74,115.55,1.143,young_4,young_general,4
75,116.693,1.163,young_4,young_general,4
76,117.857,1.16,young_4,young_general,4
77,119.017,1.18,young_4,young_general,4
78,120.197,1.12,young_4,young_general,4
79,121.317,1.167,young_4,young_general,4
80,122.483,1.163,young_4,young_general,5
81,123.647,1.127,young_4,young_general,5
82,124.773,1.147,young_4,young_general,5
83,125.92,1.123,young_4,young_general,5
84,127.043,1.15,young_4,young_general,5
85,128.193,1.117,young_4,young_general,5
86,129.31,1.13,young_4,young_general,5
87,130.44,1.137,young_4,young_general,5
88,131.577,1.143,young_4,young_general,5
89,132.72,1.153,young_4,young_general,5
90,133.873,1.15,young_4,young_general,5
91,135.023,1.113,young_4,young_general,5
92,136.137,1.143,young_4,young_general,5
93,137.28,1.147,young_4,young_general,5
94,138.427,1.11,young_4,young_general,5
95,139.537,1.12,young_4,young_general,5
96,140.657,1.12,young_4,young_general,5
97,141.777,1.173,young_4,young_general,5
98,142.95,1.143,young_4,young_general,5
99,144.093,1.12,young_4,young_general,5
100,145.213,1.123,young_4,young_general,6
101,146.337,1.15,young_4,young_general,6
102,147.487,1.167,young_4,young_general,6
103,148.653,1.143,young_4,young_general,6
104,149.797,1.17,young_4,young_general,6
105,150.967,1.17,young_4,young_general,6
106,152.137,1.167,young_4,young_general,6
107,153.303,1.167,young_4,young_general,6
108,154.47,1.167,young_4,young_general,6
109,155.637,1.147,young_4,young_general,6
110,156.783,1.167,young_4,young_general,6
111,157.95,1.177,young_4,young_general,6
112,159.127,1.163,young_4,young_general,6
113,160.29,1.16,young_4,young_general,6
114,161.45,1.163,young_4,young_general,6
115,162.613,1.17,young_4,young_general,6
116,163.783,1.183,young_4,young_general,6
117,164.967,1.173,young_4,young_general,6
118,166.14,1.19,young_4,young_general,6
119,167.33,1.187,young_4,young_general,6
120,168.517,1.197,young_4,young_general,7
121,169.713,1.177,young_4,young_general,7
122,170.89,1.18,young_4,young_general,7
123,172.07,1.173,young_4,young_general,7
